Freq. Range[4,7.990000e+00]
Name;#Ephocs;Power
001.set;1;0.362469
002.set;1;-3.414358
003.set;1;-0.557312
004.set;1;-0.623841
005.set;1;-6.819046
006.set;1;-1.194603
007.set;1;-1.785036
008.set;1;-0.480411
