Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;Power
001.set;1;6.215022
002.set;1;3.815250
003.set;1;6.114047
004.set;1;5.093203
005.set;1;-0.456385
006.set;1;2.779768
007.set;1;3.695559
008.set;1;3.807011
