Freq. Range[13,30]
Name;#Ephocs;Power
001.set;1;-5.005815
002.set;1;-5.852198
003.set;1;-4.493526
004.set;1;-7.343897
005.set;1;-10.032186
006.set;1;-8.624348
007.set;1;-6.463111
008.set;1;-4.597463
