Freq. Range[8,1.299000e+01]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001.set;1;3.197152;-0.596015;2.283670;0.858792;-1.748919;1.690395
002.set;1;2.890839;-4.378383;1.098762;0.044334;-4.825785;-0.792561
003.set;1;-0.997508;-4.304565;0.711742;1.079252;-3.035058;0.297852
004.set;1;-3.215803;-5.828062;-2.804609;-3.086036;-4.939960;-0.802561
005.set;1;-6.660940;-11.364265;-5.739157;-5.356037;-10.084491;-7.061438
006.set;1;-4.076716;-7.599945;-3.163391;-3.790251;-5.779103;-1.329727
007.set;1;-1.936580;-4.860632;-1.392588;-1.379769;-4.386758;-1.218846
008.set;1;-0.773960;-4.220800;1.247687;1.864380;-1.660344;3.724888
