Freq. Range[4,7.990000e+00]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001.set;1;3.546877;-0.934698;2.358115;1.343464;-1.324510;2.105472
002.set;1;2.563593;-5.949991;-0.420471;-1.534251;-6.193991;-0.897535
003.set;1;1.461711;-2.424936;1.758765;2.168000;-1.449123;2.179303
004.set;1;0.642388;-2.430933;0.903977;0.377509;-1.633467;2.776561
005.set;1;-4.230010;-9.314809;-4.151893;-4.211126;-7.741018;-4.284303
006.set;1;0.258610;-3.719449;0.043427;0.231296;-2.135777;4.067068
007.set;1;0.213490;-3.148029;-0.099048;0.327748;-2.927572;0.568887
008.set;1;0.893756;-2.623939;1.651520;2.124786;-1.002654;3.237043
