Freq. Range[13,30]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_IBOE.set;1;-6.131300;-9.934350;-6.357606;-7.004787;-10.888253;-9.626747
002_IBOE.set;1;-0.029073;-6.860686;-3.213596;-3.426780;-7.256298;-3.052318
003_IBOE.set;1;-1.201428;-4.417322;-0.026840;-0.860696;-4.137585;-1.508289
004_IBOE.set;1;4.899429;0.639005;2.904959;3.008346;2.564013;4.313417
005_IBOE.set;1;-9.947311;-15.737233;-12.625318;-10.169768;-14.889741;-13.313872
006_IBOE.set;1;-6.196800;-10.009115;-4.648769;-3.999511;-9.591148;-7.168426
007_IBOE.set;1;-5.298292;-7.564536;-1.412627;-4.947683;-7.210251;-4.795948
008_IBOE.set;1;-4.658698;-7.899912;-0.283823;2.594754;-4.088673;-1.120297
