Freq. Range[8,1.299000e+01]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_IBOE.set;1;1.778043;-1.693602;2.788465;1.639267;-3.112786;-1.794871
002_IBOE.set;1;6.304895;0.228623;5.590094;5.686644;2.281299;7.814971
003_IBOE.set;1;1.251810;-1.725147;2.810155;2.972301;0.034541;2.981995
004_IBOE.set;1;7.341182;2.754889;5.126740;5.349698;4.845286;6.967525
005_IBOE.set;1;-6.364809;-11.947080;-7.259021;-4.977407;-10.967855;-9.784092
006_IBOE.set;1;-3.007214;-7.077020;-2.754257;-2.972422;-5.037380;-1.095369
007_IBOE.set;1;-0.422950;-2.242241;-0.017206;0.296352;-1.119840;1.888168
008_IBOE.set;1;3.575256;0.407568;6.939588;6.265122;4.877149;8.284104
