Freq. Range[4,7.990000e+00]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_IBOE.set;1;0.875069;-3.463368;1.008732;0.008289;-5.054424;-4.535016
002_IBOE.set;1;1.617183;-5.763257;-1.428236;0.127024;-5.176464;0.119268
003_IBOE.set;1;0.783622;-3.127712;0.429783;1.311411;-2.365086;1.084016
004_IBOE.set;1;10.872463;5.431187;7.625794;8.225885;7.436235;9.612480
005_IBOE.set;1;-3.771604;-9.854979;-6.285885;-4.711709;-9.416487;-8.288591
006_IBOE.set;1;0.348219;-4.213154;1.262403;0.949467;-1.967117;2.943137
007_IBOE.set;1;0.232063;-2.859766;0.326366;0.758023;-2.070540;1.062975
008_IBOE.set;1;1.389434;-2.901082;2.565225;2.972013;0.478535;3.446604
