Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_IBOE.set;1;7.011765;1.492671;5.244768;4.665703;-0.068724;0.215131
002_IBOE.set;1;7.615709;-0.097974;3.989070;7.879733;-0.462407;3.800700
003_IBOE.set;1;7.019787;2.485621;6.463344;6.816643;3.082552;6.367778
004_IBOE.set;1;19.356502;12.682791;14.309009;14.942991;14.452440;16.101438
005_IBOE.set;1;2.858889;-3.812714;-0.876944;1.411232;-3.621562;-2.698867
006_IBOE.set;1;6.001189;0.757211;5.346730;5.751643;1.715081;6.095891
007_IBOE.set;1;6.050574;2.082184;4.901612;5.052220;2.854329;5.904133
008_IBOE.set;1;5.319971;-0.602891;4.666800;4.500884;2.509772;5.537399
