Freq. Range[8,1.299000e+01]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001.set;1;-5.079230;-11.234511;-5.370043;-3.992588;-9.544345;-1.800974
002.set;1;-5.079230;-11.234511;-5.370043;-3.992588;-9.544345;-1.800974
003.set;1;-5.079230;-11.234511;-5.370043;-3.992588;-9.544345;-1.800974
004.set;1;-5.079230;-11.234511;-5.370043;-3.992588;-9.544345;-1.800974
005.set;1;-2.477772;-8.504658;-0.376240;-0.557605;-4.258578;-0.679497
006.set;1;-4.616742;-8.283503;-3.447000;-3.112938;-7.209615;-2.482149
007.set;1;-1.857364;-6.797023;-1.734282;-0.393650;-3.939364;0.594118
008.set;1;-3.708913;-11.148210;-7.878802;-4.693369;-10.873107;-5.417335
