Freq. Range[4,7.990000e+00]
Name;#Ephocs;Power
001.set;1;-4.955219
002.set;1;-4.955219
003.set;1;-4.955219
004.set;1;-4.955219
005.set;1;-4.818517
006.set;1;-5.380676
007.set;1;-4.029456
008.set;1;-5.145013
