Freq. Range[13,30]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001.set;1;-7.326080;-12.288426;-5.462160;-5.896533;-12.286329;-4.602667
002.set;1;-7.326080;-12.288426;-5.462160;-5.896533;-12.286329;-4.602667
003.set;1;-7.326080;-12.288426;-5.462160;-5.896533;-12.286329;-4.602667
004.set;1;-7.326080;-12.288426;-5.462160;-5.896533;-12.286329;-4.602667
005.set;1;-5.346399;-10.764241;-5.396618;-6.190902;-7.635646;-4.596316
006.set;1;-3.594444;-9.395631;-3.305424;-3.258924;-9.601058;-4.727695
007.set;1;-8.486790;-14.682220;-10.059837;-9.830079;-12.572506;-8.301585
008.set;1;-7.317539;-15.079341;-12.009172;-4.452923;-14.417080;-8.470846
