Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;Power
001.set;1;2.488911
002.set;1;2.488911
003.set;1;2.488911
004.set;1;2.488911
005.set;1;0.096626
006.set;1;0.171252
007.set;1;0.319202
008.set;1;0.553357
