Freq. Range[4,7.990000e+00]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001.set;1;-2.402702;-8.118403;-2.299658;-1.616345;-6.485480;0.285485
002.set;1;-2.402702;-8.118403;-2.299658;-1.616345;-6.485480;0.285485
003.set;1;-2.402702;-8.118403;-2.299658;-1.616345;-6.485480;0.285485
004.set;1;-2.402702;-8.118403;-2.299658;-1.616345;-6.485480;0.285485
005.set;1;0.602968;-8.763920;-1.549420;-2.598556;-5.393882;-0.393269
006.set;1;-2.883429;-7.413750;-2.662031;-1.979879;-6.701653;-1.259174
007.set;1;-1.268570;-7.806345;-1.368791;-0.321534;-4.543560;1.381088
008.set;1;2.005701;-7.634740;-4.739744;-2.232061;-7.648111;-2.195484
