Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001.set;1;4.907265;0.050058;6.561298;5.626951;1.118351;5.077071
002.set;1;4.907265;0.050058;6.561298;5.626951;1.118351;5.077071
003.set;1;4.907265;0.050058;6.561298;5.626951;1.118351;5.077071
004.set;1;4.907265;0.050058;6.561298;5.626951;1.118351;5.077071
005.set;1;7.788291;-3.810574;4.168909;1.428507;-1.260153;3.324834
006.set;1;4.846068;-1.704735;3.452997;4.222414;-1.870736;2.501064
007.set;1;5.472140;-3.790508;2.455939;3.349010;-0.957431;4.678483
008.set;1;9.119898;-1.340454;0.686905;3.599539;-2.534209;1.672889
