Freq. Range[8,1.299000e+01]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_IBOE.set;1;-6.711886;-12.053007;-6.828661;-5.689942;-11.476245;-3.793528
002_IBOE.set;1;1.736815;-5.669597;-0.988048;0.495851;-3.020697;1.475075
003_IBOE.set;1;-2.780202;-7.187115;-0.775823;-9.598242;-5.513264;1.300452
004_IBOE.set;1;-9.373565;-14.824380;-6.360671;-5.483747;-10.778129;-7.769879
005_IBOE.set;1;-0.883631;-8.359125;-1.010349;-0.691526;-5.248775;-1.142894
006_IBOE.set;1;5.207015;-5.329192;6.711187;8.493309;-2.922631;3.559029
007_IBOE.set;1;0.436255;-3.861058;0.727170;1.193965;-1.420851;3.460512
008_IBOE.set;1;-3.156366;-7.992708;-4.614874;-2.564351;-8.225631;-4.760765
