Freq. Range[5.000000e-01,3.990000e+00]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_IBOE.set;1;1.180235;-4.963959;-0.572597;0.567399;-5.230959;0.501196
002_IBOE.set;1;11.256237;2.286138;6.133926;8.637303;3.039564;7.070452
003_IBOE.set;1;3.112884;-2.011744;3.661788;-3.413412;-1.668717;4.105269
004_IBOE.set;1;-2.354819;-9.858364;-1.582308;-0.173753;-7.368713;-4.108132
005_IBOE.set;1;2.948524;-6.357841;0.470047;1.262310;-4.122190;1.403394
006_IBOE.set;1;15.743635;1.455560;16.349019;18.009339;2.877746;12.000179
007_IBOE.set;1;0.639641;-5.535786;0.680213;0.908794;-2.489109;1.811532
008_IBOE.set;1;2.954128;-1.955237;0.755180;3.676383;-2.543651;0.464897
