Freq. Range[13,30]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_IBOE.set;1;-8.870891;-14.801524;-11.642719;-8.672344;-14.325504;-6.398583
002_IBOE.set;1;1.213301;-6.585583;-3.880998;-3.488636;-7.414446;-3.531255
003_IBOE.set;1;-6.368314;-11.285875;-6.059418;-12.598374;-10.072355;-1.112224
004_IBOE.set;1;-13.739566;-18.168514;-12.037519;-7.963464;-16.024820;-13.650962
005_IBOE.set;1;-2.902714;-10.501225;-4.819946;-5.699227;-8.643074;-4.822473
006_IBOE.set;1;4.437026;-8.950871;5.788058;6.943019;-7.288256;1.242423
007_IBOE.set;1;-8.435272;-13.331822;-9.303208;-8.263667;-11.110022;-6.524128
008_IBOE.set;1;-9.304323;-13.955468;-10.776883;-4.674003;-13.130792;-8.756158
