Freq. Range[4,7.990000e+00]
Name;#Ephocs;Frontal;Central;TempDir;TempEsq;Parietal;Ocipita
001_IBOE.set;1;-4.706368;-10.011520;-5.619454;-3.973738;-9.895303;-3.423396
002_IBOE.set;1;3.526016;-4.962927;0.084904;1.123572;-3.580916;1.177805
003_IBOE.set;1;-2.101202;-7.082666;-1.451577;-9.656671;-6.942776;0.002565
004_IBOE.set;1;-6.961753;-13.625023;-4.561115;-3.964964;-10.610934;-7.112344
005_IBOE.set;1;-1.892644;-9.757849;-2.346288;-2.308718;-6.382755;-1.011424
006_IBOE.set;1;6.772969;-5.222818;8.122682;10.073866;-3.218477;5.186845
007_IBOE.set;1;-3.338582;-8.717900;-2.725527;-2.330663;-6.034509;-1.939135
008_IBOE.set;1;-1.403613;-6.069234;-2.199237;-0.618186;-6.401205;-2.740805
